time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0,25.26086956521739,25.47826086956522,25.304347826086957,25.47826086956522,25.434782608695652,25.391304347826086,25.695652173913043,25.347826086956523,25.391304347826086,25.17391304347826,25.608695652173914,25.608695652173914
8,25.217391304347824,25.47826086956522,25.434782608695652,25.47826086956522,25.82608695652174,25.304347826086957,25.608695652173914,25.434782608695652,25.391304347826086,25.17391304347826,25.608695652173914,25.08695652173913
16,25.391304347826086,26.0,25.434782608695652,25.47826086956522,25.82608695652174,25.434782608695652,25.26086956521739,25.47826086956522,25.52173913043478,25.695652173913043,24.91304347826087,25.043478260869566
24,25.347826086956523,25.82608695652174,25.17391304347826,25.47826086956522,25.782608695652176,25.434782608695652,25.608695652173914,25.47826086956522,25.434782608695652,25.695652173913043,25.130434782608695,25.17391304347826
32,25.347826086956523,25.347826086956523,25.434782608695652,25.565217391304348,25.782608695652176,25.565217391304348,25.304347826086957,25.608695652173914,25.52173913043478,25.26086956521739,25.434782608695652,25.434782608695652
40,25.391304347826086,25.130434782608695,25.434782608695652,25.695652173913043,25.782608695652176,25.434782608695652,25.304347826086957,25.608695652173914,25.565217391304348,25.217391304347824,25.434782608695652,25.26086956521739
48,25.434782608695652,25.47826086956522,25.391304347826086,25.695652173913043,25.652173913043477,25.434782608695652,25.26086956521739,25.608695652173914,25.347826086956523,25.695652173913043,25.47826086956522,25.47826086956522
56,25.652173913043477,25.304347826086957,25.217391304347824,25.695652173913043,25.652173913043477,25.043478260869566,25.26086956521739,25.608695652173914,25.304347826086957,25.52173913043478,25.47826086956522,25.217391304347824
64,25.652173913043477,25.782608695652176,25.347826086956523,25.608695652173914,25.652173913043477,25.217391304347824,25.304347826086957,25.304347826086957,25.26086956521739,25.782608695652176,25.47826086956522,25.26086956521739
72,25.47826086956522,25.130434782608695,25.565217391304348,25.695652173913043,25.652173913043477,25.217391304347824,25.304347826086957,25.304347826086957,25.17391304347826,25.52173913043478,25.130434782608695,25.52173913043478
80,25.565217391304348,25.217391304347824,25.347826086956523,25.695652173913043,25.652173913043477,25.652173913043477,25.391304347826086,25.17391304347826,25.565217391304348,25.304347826086957,25.043478260869566,25.608695652173914
88,25.391304347826086,25.17391304347826,25.391304347826086,25.695652173913043,25.652173913043477,25.391304347826086,25.391304347826086,25.52173913043478,25.565217391304348,25.26086956521739,25.304347826086957,25.26086956521739
